Sector IPCC,Categoría IPCC,FUENTES DE EMISIONES NETAS ,EMISIONES 2017,EMISIONES 2018,EMISIONES 2019
1 Energía,1A Actividades de quema del combustible,1A1 Industrias de la energía,200239.2,199266.73,203425.66
1 Energía,1A Actividades de quema del combustible,1A2 Industrias manufactura y de la construcción,64708.22,56798.98,52386.54
1 Energía,1A Actividades de quema del combustible,1A3 Transporte,169343.37,171737.75,167734.88
1 Energía,1A Actividades de quema del combustible,1A4 Otros sectores,35745.38,35830.74,36439.6
1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B1 Combustibles sólidos,2940.78,2204.04,1522.72
1 Energía,1B Emisiones fugitivas provenientes de la fabricación de combustibles,1B2 Petróleo y gas natural,26643.75,28232.75,29254.72
2 Procesos industriales y uso de productos,2A Industria de los minerales,2A1 Producción de cemento,19662.37,19375.98,19411.14
2 Procesos industriales y uso de productos,2A Industria de los minerales,2A2 Producción de cal,3832.39,3924.03,4071.18
2 Procesos industriales y uso de productos,2A Industria de los minerales,2A3 Producción de vidrio,682.07,952.6,1148.02
2 Procesos industriales y uso de productos,2A Industria de los minerales,2A4 Otros usos de carbonatos,4494.38,6571.21,6288.25
2 Procesos industriales y uso de productos,2A Industria de los minerales,2A5 Otros,0,0,0
2 Procesos industriales y uso de productos,2B Industria química,2B1 Producción de amoniaco,598.89,180.98,0
2 Procesos industriales y uso de productos,2B Industria química,2B2 Producción de ácido nítrico,508.01,508.01,508.01
2 Procesos industriales y uso de productos,2B Industria química,2B3 Producción de ácido adípico,0,0,0
2 Procesos industriales y uso de productos,2B Industria química,"2B4 Producción de caprolactama, glioxil y ácido glioxílico",168.38,180.8,118.57
2 Procesos industriales y uso de productos,2B Industria química,2B5 Producción de carburo,0,0,0
2 Procesos industriales y uso de productos,2B Industria química,2B6 Producción de dióxido de titanio,386.97,386.97,386.97
2 Procesos industriales y uso de productos,2B Industria química,2B7 Producción de ceniza de sosa,143.55,174.98,166.01
2 Procesos industriales y uso de productos,2B Industria química,2B8 Producción petroquímica y negro de humo,2262.92,2366.74,2041.85
2 Procesos industriales y uso de productos,2B Industria química,2B9 Producción fluoroquímica,1176.1,1879.5,1387.53
2 Procesos industriales y uso de productos,2B Industria química,2B10 Otros,0,0,0
2 Procesos industriales y uso de productos,2C Industria de los metales,2C1 Producción de hierro y acero,18186.38,18244.47,16887.72
2 Procesos industriales y uso de productos,2C Industria de los metales,2C2 Producción de ferroaleaciones,324.41,393.93,333.12
2 Procesos industriales y uso de productos,2C Industria de los metales,2C3 Producción de aluminio,0,0,0
2 Procesos industriales y uso de productos,2C Industria de los metales,2C4 Producción de magnesio,0,0,0
2 Procesos industriales y uso de productos,2C Industria de los metales,2C5 Producción de plomo,97.74,77.74,87.94
2 Procesos industriales y uso de productos,2C Industria de los metales,2C6 Producción de zinc,0,0,0
2 Procesos industriales y uso de productos,2C Industria de los metales,2C7 Otros,0,0,0
2 Procesos industriales y uso de productos,2D Uso de productos no energéticos de combustibles y de solvente,2D1 Uso de lubricantes,65.53,57.53,27.64
2 Procesos industriales y uso de productos,2D Uso de productos no energéticos de combustibles y de solvente,2D2 Uso de la cera de parafina,12.9,15.25,6.52
2 Procesos industriales y uso de productos,2D Uso de productos no energéticos de combustibles y de solvente,2D3 Uso de solventes,0,0,0
2 Procesos industriales y uso de productos,2D Uso de productos no energéticos de combustibles y de solvente,2D4 Otros,0,0,0
